id;;nom;tel;adresse;CP;Ville;;;;;;;
53;*;Aneo;01 46 44 24 66;122 Avenue Du General Leclerc;92100;Boulogne Billancourt;;;;;;;
54;*;Galia (Sté);01 41 31 68 68;96 Avenue Du General Leclerc;92100;Boulogne Billancourt;;;;;;;
55;*;ALMA ETUDES ET CONSEILS;01 41 04 30 20;56 Rue Du Point Du Jour;92100;Boulogne Billancourt;;;;;;;
56;*;MPK Conseils Construction;09 67 49 13 70;100 Rue De Sevres;92100;Boulogne Billancourt;;;;;;;
57;*;Syselec;01 41 10 01 60;52 Rue de la Belle Feuille;92100;Boulogne Billancourt;;;;;;;
58;*;Eurotec Ingenierie;;1 Boulevard Jean Jaurès;92100;Boulogne Billancourt;;;;;;;
59;*;Bureau Concept Coordination Bâtiment;01 46 10 02 88;134 B Rue Du Vieux Pont De Sevres;92100;Boulogne Billancourt;;;;;;;
60;*;Hiq Consulting;01 41 31 20 20;62 B Avenue Andre Morizet;92100;Boulogne Billancourt;;;;;;;
61;*;Mercure Engineering & Consulting;01 49 10 90 49;2 B Avenue Desfeux;92100;Boulogne Billancourt;;;;;;;
62;*;Extia;01 46 99 91 91;20 Rue de Billancourt;92100;Boulogne Billancourt;;;;;;;
63;*;Terrell;01 46 21 14 20;11 Rue Heinrich;92100;Boulogne Billancourt;;;;;;;
64;*;Agap2 Paris;01 41 31 20 20;62 B Avenue André Morizet;92100;Boulogne Billancourt;;;;;;;
65;*;Demarne Claude;01 46 05 71 91;1 Rue du 6 Juin 1944;92100;Boulogne Billancourt;;;;;;;
66;*;Alice Evenements;01 46 25 18 99;110 Avenue Victor Hugo;92100;Boulogne Billancourt;;;;;;;
67;*;Communica;01 58 17 09 00;9 Rue Neuve St Germain;92100;Boulogne Billancourt;;;;;;;
68;*;Bel Canto;09 70 40 88 58;18 Rue Paul Bert;92100;Boulogne Billancourt;;;;;;;
69;*;Ba Com;01 41 22 93 00;19 Rue Fernand Pelloutier;92100;Boulogne Billancourt;;;;;;;
70;*;Agence de Presse Free Lance Associés;01 47 12 01 09;15 Rue Gambetta;92100;Boulogne Billancourt;;;;;;;
71;*;Press Index;01 55 60 92 07;27 Rue De Sevres;92100;Boulogne Billancourt;;;;;;;
72;*;G2 Paris;01 46 84 85 00;63 B Rue de Sèvres;92100;Boulogne Billancourt;;;;;;;
73;*;Nex et Com;01 46 43 33 00;159 Rue De Silly;92100;Boulogne Billancourt;;;;;;;
74;*;VPCOM;01 46 20 55 86;2 Avenue Desfeux;92100;Boulogne Billancourt;;;;;;;
75;*;Cezame;01 58 17 01 01;5 Rue Galliéni;92100;Boulogne Billancourt;;;;;;;
76;*;S.E.P.R.E.M;01 41 10 81 81;6 Rue Jules Simon;92100;Boulogne Billancourt;;;;;;;
77;*;Terre de Sienne Holding;01 41 31 45 66;79 B Rue De Paris;92100;Boulogne Billancourt;;;;;;;
78;*;Réalités et Communications;01 46 09 47 85;69 Avenue Pierre Grenier;92100;Boulogne Billancourt;;;;;;;
79;*;Deslegan BBDO;01 46 09 46 09;69 Avenue Pierre Grenier;92100;Boulogne Billancourt;;;;;;;
80;*;Jempy and Partners;09 75 92 87 03;21 Rue de la Belle Feuille;92100;Boulogne Billancourt;;;;;;;
81;*;Article 11;01 46 03 14 70;203 Rue Gallieni;92100;Boulogne Billancourt;;;;;;;
82;*;Studionysos;01 47 61 07 57;36 Rue Marcel Dassault;92100;Boulogne Billancourt;;;;;;;
83;*;Drôles de Dames;01 41 03 24 50;22 Rue Michelet;92100;Boulogne Billancourt;;;;;;;
84;*;Loo Media;01 46 10 01 10;25 B Avenue Pierre Grenier;92100;Boulogne Billancourt;;;;;;;
85;*;Sélectour;01 41 31 88 88;28 Boulevard Jean Jaures;92100;Boulogne Billancourt;;;;;;;
86;*;22 Juillet Conseil;01 46 99 85 08;9 Rue De Vanves;92100;Boulogne Billancourt;;;;;;;
87;*;Fred;01 45 58 75 23;66 Rue Escudier;92100;Boulogne Billancourt;;;;;;;
88;*;Marie Catherine Gault Communication;01 41 10 49 49;11 Rue Fessart;92100;Boulogne Billancourt;;;;;;;
89;*;LD2G Communication;01 46 08 66 90;30 Rue de Meudon;92100;Boulogne Billancourt;;;;;;;
90;*;Nouvelles Frontières;01 41 31 04 66;36 Rue le Corbusier;92100;Boulogne Billancourt;;;;;;;
91;*;Clear Channel;01 55 38 09 52;4 Place Des Ailes;92100;Boulogne Billancourt;;;;;;;
92;*;Loomedia;01 46 10 32 42;252 Avenue Pierre Grenier;92100;Boulogne Billancourt;;;;;;;
93;*;TELE PARIS;09 60 16 28 46;121 Rue d Aguesseau;92100;Boulogne Billancourt;;;;;;;
94;*;Préférence Events;01 55 20 07 67;7 Rue Thiers;92100;Boulogne Billancourt;;;;;;;
95;*;Georgeon et Associés;01 46 10 44 51;66 Rue du Point du Jour;92100;Boulogne Billancourt;;;;;;;
96;*;Patrick Spica Presse;01 49 09 01 41;6 Rue Jules Simon;92100;Boulogne Billancourt;;;;;;;
97;*;Agence Laurent;01 46 03 62 80;28 Rue Georges Sorel;92100;Boulogne Billancourt;;;;;;;
98;*;Columbus Communications;01 41 31 52 60;164 B Rue D Aguesseau;92100;Boulogne Billancourt;;;;;;;
99;*;Publipizz;01 46 10 32 36;252 Avenue Pierre Grenier;92100;Boulogne Billancourt;;;;;;;
100;*;Stories Designed For Consumers;01 46 03 76 45;56 Rue De Paris;92100;Boulogne Billancourt;;;;;;;
101;*;W & Cie;01 72 27 00 00;1 cours de l Ile Seguin;92100;Boulogne Billancourt;;;;;;;
102;*;Brand Advocate;01 41 86 07 43;30 Rue Louis Pasteur;92100;Boulogne Billancourt;;;;;;;
103;*;Mon Agence.Com;08 11 65 49 49;78 Boulevard de la République;92100;Boulogne Billancourt;;;;;;;
104;*;Droles De Dames Edwige De France;01 41 03 24 50;22 Rue Michelet;92100;Boulogne Billancourt;;;;;;;
105;*;Equatour Voyages;01 41 04 04 04;19 Rue St Denis;92100;Boulogne Billancourt;;;;;;;
106;*;Zooloomedia;01 46 10 01 10;252 Avenue Pierre Grenier;92100;Boulogne Billancourt;;;;;;;
107;*;Headway International;01 41 31 54 59;23 Rue de Paris;92100;Boulogne Billancourt;;;;;;;
108;*;Les Editions D'astorg;01 41 86 06 06;60 Avenue Du General Leclerc;92100;Boulogne Billancourt;;;;;;;
109;*;Brand Advocate;01 41 86 07 43;30 Rue Louis Pasteur;92100;Boulogne Billancourt;;;;;;;
110;*;Bemex Tours;;4 Avenue;92100;Boulogne Billancourt;;;;;;;
111;*;Club Méditerranée;01 41 22 01 80;174 Boulevard Jean Jaures;92100;Boulogne Billancourt;;;;;;;
112;*;Le Fil;01 72 71 64 30;131 B Rue De Billancourt;92100;Boulogne Billancourt;;;;;;;
